Is_food_distributed_in_the_Site_Hot_drinks;Is food distributed in the Site?/Hot drinks;
Is_food_distributed_in_the_Site_Hot_Meals;Is food distributed in the Site?/Hot Meals;
Is_food_distributed_in_the_Site_Snacks;Is food distributed in the Site?/Snacks;
Is_food_distributed_in_the_Site_Other;Is food distributed in the Site?/Other;
Organization_distributing_food;Organization distributing food;
Are_medical_services_available_in_the_Site;Are medical services available in the Site?;
Organization_providing_medical_services;Organization providing medical services;
Type_of_medical_services;Type of medical services;
Type_of_medical_services_First_Aid;Type of medical services/First Aid;
Type_of_medical_services_Medical_Screening;Type of medical services/Medical Screening;
Type_of_medical_services_Medical_Referrals;Type of medical services/Medical Referrals;
Type_of_medical_services_Other;Type of medical services/Other;
is_mental_health_and_psychosocial_support_MHPS_available_at_the_Site;is mental health and psychosocial support (MHPS) available at the Site?;
Organization_providing_MHPS_services;Organization providing MHPS services;
Is_a_Mother_and_baby_area_available_at_the_Site;Is a Mother-and-baby area available at the Site?;
Select_types_of_information_provided_in_the_Site;Select type(s) of information provided in the Site;
Select_types_of_information_provided_in_the_Site_None;Select type(s) of information provided in the Site/None;
Select_types_of_information_provided_in_the_Site_Accommodation;Select type(s) of information provided in the Site/Accommodation;
Select_types_of_information_provided_in_the_Site_Child_services;Select type(s) of information provided in the Site/Child services;
Select_types_of_information_provided_in_the_Site_Entry_Exit_Requirements;Select type(s) of information provided in the Site/Entry/Exit Requirements;
Select_types_of_information_provided_in_the_Site_International_protection_and_humanitarian_status;Select type(s) of information provided in the Site/International protection and humanitarian status;
Select_types_of_information_provided_in_the_Site_Risks_of_sexual_exploitation_and_trafficking;Select type(s) of information provided in the Site/Risks of sexual exploitation and trafficking;
Select_types_of_information_provided_in_the_Site_Services_available;Select type(s) of information provided in the Site/Services available;
Select_types_of_information_provided_in_the_Site_Temporary_Protection;Select type(s) of information provided in the Site/Temporary Protection;
Select_types_of_information_provided_in_the_Site_Transport_including_for_people_in_transit;Select type(s) of information provided in the Site/Transport including for people in transit;
Select_types_of_information_provided_in_the_Site_Other;Select type(s) of information provided in the Site/Other;
Organizations_providing_information_on_accomodation;Organization(s) providing information on accomodation;
Organizations_providing_information_on_Child_Services;Organization(s) providing information on Child Services;
Organizations_providing_information_on_Entry_Exit_requirements;Organization(s) providing information on Entry/Exit requirements;
Organizations_providing_information_on_International_Protection_and_Humanitarian_Status;Organization(s) providing information on International Protection and Humanitarian Status;
Organizations_providing_information_on_Risks_of_Sexual_Exploitation_and_Trafficking;Organization(s) providing information on Risks of Sexual Exploitation and Trafficking;
Organizations_providing_information_on_Services_Available;Organization(s) providing information on Services Available;
Organizations_providing_information_on_Temporary_Protection;Organization(s) providing information on Temporary Protection;
Organizations_providing_information_on_Transport_including_for_people_in_transit;Organization(s) providing information on Transport including for people in transit;
Legal_counselling_and_assistance_is_available_in_the_Site;Legal counselling and assistance is available in the Site?;
Organizations_providing_legal_assistance;Organization(s) providing legal assistance;
Type_of_staff_providing_legal_assistance;Type of staff providing legal assistance;
Type_of_staff_providing_legal_assistance_Lawyers;Type of staff providing legal assistance/Lawyers;
Type_of_staff_providing_legal_assistance_Paralegals;Type of staff providing legal assistance/Paralegals;
Type_of_staff_providing_legal_assistance_Social_Workers;Type of staff providing legal assistance/Social Workers;
Type_of_staff_providing_legal_assistance_Trained_volunteers;Type of staff providing legal assistance/Trained volunteers;
Type_of_staff_providing_legal_assistance_Untrained_volunteers;Type of staff providing legal assistance/Untrained volunteers;
Type_of_staff_providing_legal_assistance_Other;Type of staff providing legal assistance/Other;
Number_of_staff_providing_legal_information_assistance;Number of staff providing legal information/assistance;
Are_referrals_for_accommodation_provision_established_in_the_Site;Are referrals for accommodation provision established in the Site?;
Organization_making_referrals_for_accomodation;Organization making referrals for accomodation;
Are_services_for_persons_in_transit_available;Are services for persons in transit available?;
Organization_providing_assistance_to_people_in_tranzit;Organization providing assistance to people in tranzit;
Is_humanitarian_assistance_provided_at_the_Entry_Point_or_Registration_Hub;Is humanitarian assistance provided at the Entry Point or Registration Hub?;
Are_non_food_items_NFIs_distributed_in_the_Site;Are non-food items (NFIs) distributed in the Site?;
Organizaitons_distributing_NFIs;Organizaiton(s) distributing NFIs;
List_the_NFI_items_distributed;List the NFI items distributed;
COVID_19_Measures_in_place;COVID-19 Measures in place;
COVID_19_Measures_in_place_None;COVID-19 Measures in place/None;
COVID_19_Measures_in_place_PCR_test_for_new_unvaccinated_arrivals;COVID-19 Measures in place/PCR test for new unvaccinated arrivals;
COVID_19_Measures_in_place_Rapid_antigen_test_for_new_unvaccinated_arrivals;COVID-19 Measures in place/Rapid antigen test for new unvaccinated arrivals;
COVID_19_Measures_in_place_Quarantine_room_for_tested_positive_is_available_in_the_center;COVID-19 Measures in place/Quarantine room for tested positive is available in the center;
COVID_19_Measures_in_place_Quarantine_for_tested_positive_is_outside_of_the_center;COVID-19 Measures in place/Quarantine for tested positive is outside of the center;
